[2023-05-28T11:04:31.266] [WARN] warn - Ruta GET /profile inexistentes
[2023-05-28T11:04:31.311] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-28T11:07:59.837] [WARN] warn - Ruta GET /profile inexistentes
[2023-05-28T11:07:59.876] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-28T11:08:20.612] [WARN] warn - Ruta GET /profile inexistentes
[2023-05-28T11:08:20.651] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-28T11:08:24.976] [WARN] warn - Ruta GET /profile inexistentes
[2023-05-28T11:08:25.004] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-28T11:08:43.741] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-28T11:08:59.974] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-28T11:10:35.931] [WARN] warn - Ruta GET /profile inexistentes
[2023-05-28T11:10:35.964] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-28T11:10:39.417] [WARN] warn - Ruta GET /profile inexistentes
[2023-05-28T11:10:39.467] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-28T11:11:17.546] [WARN] warn - Ruta GET /profile inexistentes
[2023-05-28T11:11:17.590] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-28T11:11:23.299] [WARN] warn - Ruta GET /profile inexistentes
[2023-05-28T11:11:23.333] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-28T11:11:27.485] [WARN] warn - Ruta GET /profile inexistentes
[2023-05-28T11:11:27.511] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-28T11:11:30.706] [WARN] warn - Ruta GET /profile inexistentes
[2023-05-28T11:11:30.735] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-28T11:14:18.112] [WARN] warn - Ruta GET /profile inexistentes
[2023-05-28T11:14:18.132] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-28T11:16:24.302] [WARN] warn - Ruta GET /profile inexistentes
[2023-05-28T11:16:24.322] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-28T11:16:48.349] [WARN] warn - Ruta GET /profile inexistentes
[2023-05-28T11:16:48.370] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-28T11:18:43.596] [WARN] warn - Ruta GET /profile inexistentes
[2023-05-28T11:18:43.617] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-28T11:19:06.205] [WARN] warn - Ruta GET /profile inexistentes
[2023-05-28T11:19:06.224] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-28T11:19:20.673] [WARN] warn - Ruta GET /profile inexistentes
[2023-05-28T11:19:20.692] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-28T11:19:33.535] [WARN] warn - Ruta GET /profile inexistentes
[2023-05-28T11:19:33.553] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-28T11:20:37.134] [WARN] warn - Ruta GET /profile inexistentes
